Institution Name,Category
Albert Institute For Higher Education,Affiliated Institutions
Alvan Ikoku College of Education,Affiliated Institutions
Archbishop Vining College Of Theology,Affiliated Institutions
Baptist College of Theology,Affiliated Institutions
Calvary of College of Theology,Affiliated Institutions
Catholic Institute of West Africa,Affiliated Institutions
Cross River State College of Education,Affiliated Institutions
Dominican Institute,Affiliated Institutions
Essien Ukpabio Presbyterian College Itu,Affiliated Institutions
Federal College of Education,Affiliated Institutions
Federal College of Education (Special),Affiliated Institutions
Federal College of Education (Technical),Affiliated Institutions
Immanuel College of Theology And Christian Education,Affiliated Institutions
Methodists Theological institute,Affiliated Institutions
Michael Imodu National Institute for Labour Studies,Affiliated Institutions
NIGERIAN UNIVERSITIESFederal UniversitiesState UniversitiesPrivate UniversitiesDistance Learning CentersApproved AffiliationsSteps for Private University,Affiliated Institutions
National Film Institute,Affiliated Institutions
Niger State College of Education,Affiliated Institutions
Nwafor Orizu College of Education,Affiliated Institutions
Osun State College Of Education,Affiliated Institutions
Redeemed Christian Bible College,Affiliated Institutions
Shehu Shagari College of Education,Affiliated Institutions
Steps for Private University,Affiliated Institutions
The Redeemed Christian Bible College,Affiliated Institutions
The Samuel Bill Theological College,Affiliated Institutions
Trinity Theological College,Affiliated Institutions
Umar Suleiman College of Education,Affiliated Institutions
World Harvest Bible College and Seminaries,Affiliated Institutions
Yaba College of Technology Lagos,Affiliated Institutions
kanemi College of Education,Affiliated Institutions
s College Of Education Akoka,Affiliated Institutions
"Afe Babalola University, Ado-Ekiti",Distance Learning
Ahmadu Bello University Zaria,Distance Learning
Babcock University Ilishan,Distance Learning
Covenant University,Distance Learning
"Delta State University, Abraka",Distance Learning
Enugu State University of Science and Technology,Distance Learning
Federal University of Technology Akure,Distance Learning
Federal University of Technology Minna,Distance Learning
Igbinedion University,Distance Learning
"Ignatius Ajuru University of Education, Portharcourt",Distance Learning
Joseph Ayo Babalola University University,Distance Learning
"Ladoke Akintola University of Technology, Ogbomoso",Distance Learning
Lagos State University,Distance Learning
"Modibbo Adama University of Technology, Yola",Distance Learning
Mountain Top University,Distance Learning
Nasarawa State University,Distance Learning
"Nile University, Abuja",Distance Learning
"Obafemi Awolowo University, Ile-Ife",Distance Learning
"Olabisi Onabanjo University, Ago-Iwoye",Distance Learning
"University of Abuja, Abuja",Distance Learning
University of Benin,Distance Learning
University of Calabar,Distance Learning
"University of Ibadan, Ibadan",Distance Learning
University of Ilorin,Distance Learning
"University of Lagos, Akoka",Distance Learning
"University of Maiduguri, Maiduguri",Distance Learning
University of Nigeria Nsukka,Distance Learning
University of Portharcourt,Distance Learning
"Usmanu Danfodio University , Sokoto",Distance Learning
"Abubakar Tafawa Balewa University, Bauchi",Federal
"Adeyemi Federal University of Education, Ondo",Federal
"Admiralty University Ibusa, Delta State",Federal
African Aviation and Aerospace University,Federal
"Ahmadu Bello University, Zaria",Federal
"Air Force Institute of Technology, Kaduna",Federal
"Alex Ekwueme University, Ndufu-Alike, Ebonyi State",Federal
"Alvan Ikoku Federal University of Education, Owerri, Imo State",Federal
"Bayero University, Kano",Federal
"David Nweze Umahi Federal University of Medical Sciences, Uburu",Federal
"Federal University Gashua, Yobe",Federal
"Federal University of Agriculture Bassam-Biri, Bayelsa",Federal
"Federal University of Agriculture and Developmental Studies, Iragbuji, Osun State",Federal
"Federal University of Agriculture, Abeokuta",Federal
"Federal University of Agriculture, Mubi",Federal
"Federal University of Agriculture, Zuru, Kebbi State",Federal
"Federal University of Allied Health Sciences, Enugu",Federal
"Federal University of Applied Sciences, Kachia, Kaduna State",Federal
"Federal University of Education Kontagora, Niger State",Federal
"Federal University of Education Pankshin, Plateau State",Federal
"Federal University of Education, Zaria, Kaduna State",Federal
"Federal University of Environment and Technology, Tai Town, Ogoniland, Rivers State",Federal
"Federal University of Health Sciences Kwale, Delta State",Federal
"Federal University of Health Sciences, Azare, Bauchi State",Federal
"Federal University of Health Sciences, Ila Orangun, Osun State",Federal
"Federal University of Health Sciences, Katsina",Federal
"Federal University of Health Sciences, Otukpo, Benue State",Federal
"Federal University of Medicine and Medical Sciences, Abeokuta",Federal
"Federal University of Petroleum Resources, Effurun",Federal
"Federal University of Technology and Environmental Studies, Iyin-Ekiti, Ekiti State.",Federal
"Federal University of Technology, Akure",Federal
"Federal University of Technology, Babura, Jigawa State",Federal
"Federal University of Technology, Ikot Abasi, Akwa Ibom State",Federal
"Federal University of Technology, Minna",Federal
"Federal University of Technology, Owerri",Federal
"Federal University of Transportation Daura, Katsina",Federal
"Federal University, Birnin Kebbi",Federal
"Federal University, Dutse, Jigawa State",Federal
"Federal University, Dutsin-Ma, Katsina",Federal
"Federal University, Gusau Zamfara",Federal
"Federal University, Kashere, Gombe State",Federal
"Federal University, Lafia, Nasarawa State",Federal
"Federal University, Lokoja, Kogi State",Federal
"Federal University, Otuoke, Bayelsa",Federal
"Federal University, Oye-Ekiti, Ekiti State",Federal
"Federal University, Wukari, Taraba State",Federal
"Joseph Sarwuan Tarka University, Makurdi",Federal
Michael Okpara University of Agricultural Umudike,Federal
"Modibbo Adama University of Technology, Yola",Federal
"National Open University of Nigeria, Abuja",Federal
"National University of Science and Technology, Abuja",Federal
Nigeria Police Academy Wudil,Federal
Nigerian Army University Biu,Federal
Nigerian Defence Academy Kaduna,Federal
"Nigerian Maritime University Okerenkoko, Delta State",Federal
"Nnamdi Azikiwe University, Awka",Federal
"Obafemi Awolowo University,Ile-Ife",Federal
"Tai Solarin Federal University of Education, Ijagun, Ijebu Ode",Federal
"University of Abuja, Gwagwalada",Federal
University of Benin,Federal
University of Calabar,Federal
University of Ibadan,Federal
University of Ilorin,Federal
University of Jos,Federal
University of Lagos,Federal
University of Maiduguri,Federal
"University of Maritime Studies, Oron, Akwa Ibom State",Federal
"University of Nigeria, Nsukka",Federal
University of Port-Harcourt,Federal
University of Uyo,Federal
Usumanu Danfodiyo University,Federal
"Yusuf Maitama Sule Federal University of Education, Kano",Federal
"Abdulrasaq Abubakar Toyin University, Oke-Ogba, Ganmo, Ilorin, Kwara State",Private
"Achievers University, Owo",Private
"Adeleke University, Ede",Private
"Afe Babalola University, Ado-Ekiti - Ekiti State",Private
"African University of Economics, FCT, Abuja",Private
"African University of Science and Technology, Abuja",Private
"Ahman Pategi University, Kwara State",Private
"Ajayi Crowther University, Ibadan",Private
"Al-Ansar University, Maiduguri, Borno",Private
"Al-Bayan University, Ankpa, Kogi State",Private
"Al-Hikmah University, Ilorin",Private
"Al-Istiqama University, Sumaila, Kano State",Private
"Al-Muhibbah Open University, Abuja",Private
"Al-Qalam University, Katsina",Private
"Aletheia University, Ago-Iwoye Ogun State",Private
"Amadeus University, Amizi, Abia State",Private
"Amaj University, Kwali, Abuja",Private
"American University of Nigeria, Yola",Private
"Anan University, Kwall, Plateau State",Private
Anchor University Ayobo Lagos State,Private
Arthur Javis University Akpoyubo Cross river State,Private
Atiba University Oyo,Private
Augustine University,Private
"Ave Maria University, Piyanko, Nasarawa State",Private
"Azman University, Kano State",Private
"Baba Ahmed University, Kano State",Private
"Babcock University,Ilishan-Remo",Private
Baze University,Private
"Bells University of Technology, Otta",Private
"Benson Idahosa University, Benin City",Private
"Bingham University, New Karu",Private
"Bowen University, Iwo",Private
"British Canadian University, Obufu Cross River State",Private
"Caleb University, Lagos",Private
"Canadian University of Nigeria, Abuja",Private
"Capital City University, Kano State",Private
"Caritas University, Enugu",Private
Chrisland University,Private
Christopher University Mowe,Private
"Claretian University of Nigeria, Nekede, Imo State",Private
Clifford University Owerrinta Abia State,Private
Coal City University Enugu State,Private
"College of Petroleum and Energy Studies, Kaduna State",Private
Cosmopolitan University Abuja,Private
Covenant University Ota,Private
Crawford University Igbesa,Private
Crescent University,Private
Dominican University Ibadan Oyo State,Private
"Dominion University Ibadan, Oyo State",Private
"Edusoko University, Bida, Niger State",Private
"Edwin Clark University, Kaigbodo",Private
"Eko University of Medical and Health Sciences Ijanikin, Lagos",Private
"El-Amin University, Minna, Niger State",Private
"Elizade University, Ilara-Mokin",Private
"Elrazi Medical University Yargaya University, Kano State",Private
"Eranova University, Abuja",Private
"European University of Nigeria, Duboyi, FCT",Private
"Evangel University, Akaeze",Private
"Franco British International University, Kaduna State",Private
"Gerar University of Medical Science Imope Ijebu, Ogun State.",Private
"Glorious Vision University, Ogwa, Edo State.",Private
"Godfrey Okoye University, Ugwuomu-Nike - Enugu State",Private
"Greenfield University, Kaduna",Private
"Gregory University, Uturu",Private
"Hallmark University, Ijebi Itele, Ogun",Private
"Havilla University, Nde-Ikom, Cross River State",Private
"Hensard University, Toru-Orua, Sagbama, Bayelsa State",Private
"Hezekiah University, Umudi",Private
"Hillside University of Science and Technology, Okemisi, Ekiti State",Private
"Huda University, Gusau, Zamafara State",Private
"Iconic Open University, Sokoto State.",Private
Igbinedion University Okada,Private
"Isaac Balami University of Aeronautics and Management, Lagos State",Private
"James Hope University, Lagos, Lagos State",Private
"Jewel University, Gombe state",Private
"Joseph Ayo Babalola University, Ikeji-Arakeji",Private
"Karl-Kumm University, Vom, Plateau State",Private
"Kevin Eze University, Mgbowo, Enugu State",Private
"Khadija University, Majia, Jigawa State",Private
"Khalifa Isiyaku Rabiu University, Kano",Private
"Kings University, Ode Omu",Private
"Kola Daisi University Ibadan, Oyo State",Private
"Kwararafa University, Wukari",Private
"Landmark University, Omu-Aran.",Private
"Lead City University, Ibadan",Private
"Legacy University, Okija Anambra State",Private
"Lens University, Ilemona, Kwara State",Private
"Lighthouse University, Evbobanosa, Edo State",Private
"Lux Mundi University Umuahia, Abia State",Private
"Madonna University, Okija",Private
"Maduka University, Ekwegbe, Enugu State",Private
"Maranatha University, Lagos",Private
"Margaret Lawrence University, Umunede, Delta State",Private
"Maryam Abacha American University of Nigeria, Kano State",Private
"Mcpherson University, Seriki Sotayo, Ajebo",Private
"Mercy Medical University, Iwo, Ogun State",Private
"Mewar International University, Masaka, Nasarawa State",Private
Micheal & Cecilia Ibru University,Private
"Minaret University, Ikirun, Osun State",Private
"Miva Open University, Abuja FCT",Private
"Monarch University, Iyesi-Ota, Ogun State",Private
Mountain Top University,Private
"Mudiame University, Irrua, Edo State",Private
Muhammad Kamalud University Kwara,Private
"New City University, Ayetoro, Ogun State",Private
"Newgate University, MInna, Niger State.",Private
"Nigerian British University, Asa, Abia State",Private
"Nigerian University of Technology and Management, Apapa, Lagos State",Private
"Nile University of Nigeria, Abuja",Private
"North Eastern University, Gombe",Private
NorthWest University Sokoto State,Private
"Novena University, Ogume",Private
"Obong University, Obong Ntak",Private
"Oduduwa University, Ipetumodu - Osun State",Private
"Ojaja University Eiyenkorin, Kwara State",Private
"PAMO University of Medical Sciences, Portharcourt",Private
"Pan-Atlantic University, Lagos",Private
"Paul University, Awka - Anambra State",Private
